target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,134105,0,1,0,,32.049315068,6.8410958904,0,0,10.468493151,231
0,OTHER,advanced,,18000,0,0,1,1.1519489247,31.682191781,0.7160041919,0,0,9.4301369863,235
0,OTHER,elementary,,170000,0,0,,,34.863013699,3.0328767123,,,10.260273973,239
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,240
0,OTHER,beginner,VIP,298747,0,1,1,0.7934811828,39.151246351,7.3676847069,0,0,9.8197395015,241
0,OTHER,elementary,Corporate,110390,0,1,0,11.368974014,45.023452354,3.2547945205,1,1,0.0082191781,244
0,OTHER,advanced,,15000,0,0,0,2.0521953405,41.670589116,3.073328842,0,0,10.533602815,248
0,OTHER,elementary,,120000,0,0,0,12.146594982,55.126027397,16.894288495,0,0,8.0602739726,250
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,255
0,2NDFL,beginner,,,0,1,1,0.2382168459,49.232876712,5.3123287671,0,0,4.194153754,257
0,2NDFL,elementary,,87765,0,0,0,2.2523521505,26.67881578,2.0705966015,0,0,6.5993637248,262
0,2NDFL,elementary,,158775,0,0,1,0.7034722222,33.400172169,1.9561643836,1,2,9.4411557751,263
0,OTHER,advanced,,27000,0,0,,,37.230668463,8.8426903211,,,11.610958904,269
0,OTHER,elementary,Corporate,46876,0,1,,,31.571038251,7.0729695336,,,4.5551613145,270
0,OTHER,advanced,,65000,0,0,1,-1,40.925645632,21.204334157,1,1,13.021274047,274
0,OTHER,elementary,,150000,0,0,1,0.3761648746,40.25713751,1.9808219178,0,0,4.1205254884,277
0,OTHER,beginner,Corporate,176109,0,1,3,0.695766129,28.669398907,7.170589116,1,1,7.9672131148,285
0,2NDFL,elementary,,43447,0,0,,,29.756164384,1.1459690097,,,9.5561643836,293
0,OTHER,elementary,Corporate,55371,0,1,1,0.570766129,25.390620555,0.6700726102,0,0,5.3577438431,294
0,OTHER,elementary,,160000,0,0,0,0.9296146953,30.463013699,0.7175761659,1,1,9.5727674227,297
0,OTHER,advanced,,60000,0,0,1,0.8965949821,38.794520548,7.2931506849,1,1,11.243835616,309
0,OTHER,high,Corporate,31007,0,1,0,21.407078853,47.715629912,0.3797814208,0,0,2.6443970357,311
0,OTHER,elementary,Corporate,113462,0,1,1,0.6332437276,50.142465753,5.2136986301,0,0,4.8858297777,316
0,OTHER,elementary,Corporate,113462,0,1,1,0.6332437276,50.142465753,5.2136986301,0,0,4.8858297777,317
0,OTHER,advanced,,50000,0,0,1,1.115703405,30.315068493,4.8283030167,0,0,8.0054794521,321
