;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8682;Форма банка (без печати работодателя);Ремонт;1.0;0.54;мужской;2;0;среднее;специалист;< 50;0.0;104.0;33.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8683;Форма банка (без печати работодателя);Покупка автомобиля;0.0;0.2;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;0.0;157.0;37.0;Торговля;Государственное предприятие;женат / замужем;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.3333333333;3.0;6.0;88.0;9.0;1.0;2.0;3.0;89.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8684;Поступление зарплаты на счет;Покупка автомобиля;0.0;0.44;женский;2;0;высшее;вспомогательный персонал;>250;1.0;114.0;40.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8685;Поступление зарплаты на счет;Ремонт;1.0;0.35;мужской;0;0;высшее;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8686;Поступление зарплаты на счет;Ремонт;1.0;0.57;женский;1;0;высшее;вспомогательный персонал;>250;0.0;38.0;47.0;Торговля;ООО;женат / замужем;6.0;2.0;1.0;1.0;1.0;0.0353982301;1.0;1.0;1.0;0.0;0.25;2.0;6.0;109.0;8.0;1.0;0.0;2.0;68.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8688;Поступление зарплаты на счет;Ремонт;1.0;0.36;мужской;0;0;высшее;вспомогательный персонал;>250;0.0;59.0;30.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8689;Свободная форма с печатью работодателя;Отпуск;1.0;0.46;мужской;0;0;второе высшее;менеджер высшего звена;>100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8690;Поступление зарплаты на счет;Ремонт;0.0;0.49;мужской;1;0;среднее-специальное;рабочий;>=100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8691;2НДФЛ;Покупка автомобиля;1.0;0.37;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0.0;91.0;30.0;Государственная служба;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8692;2НДФЛ;Покупка автомобиля;1.0;0.49;мужской;2;0;среднее-специальное;менеджер среднего звена;< 50;0.0;78.0;42.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.022222222200000002;1.0;0.0;0.0;0.0;0.6666666667;2.0;1.0;44.0;3.0;1.0;1.0;20.0;20.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8693;Свободная форма с печатью работодателя;Покупка автомобиля;1.0;0.59;мужской;0;0;высшее;торговый представитель;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8694;2НДФЛ;Покупка автомобиля;1.0;0.49;мужской;0;0;высшее;менеджер среднего звена;>250;3.0;56.0;27.0;Наука;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8695;Форма банка (без печати работодателя);Ремонт;1.0;0.29;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0.0;35.0;40.0;Торговля;ОАО;холост / не замужем;0.0;0.0;0.0;0.0;0.0;0.0693069307;0.0;0.0;0.0;0.0;0.2;1.0;4.0;94.0;5.0;0.0;1.0;14.0;79.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
8696;2НДФЛ;Ремонт;1.0;0.33;женский;0;0;высшее;вспомогательный персонал;>250;0.0;243.0;38.0;Наука;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8697;2НДФЛ;Покупка недвижимости/ строительство;0.0;0.39;мужской;0;0;высшее;рабочий;>250;0.0;207.0;55.0;Другое;ОАО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.3333333333;1.0;2.0;77.0;3.0;1.0;2.0;14.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8698;Форма банка (без печати работодателя);Покупка мебели;1.0;0.56;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0.0;62.0;45.0;Торговля;ОАО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.12941176470000001;0.0;0.0;0.0;0.0;0.3333333333;3.0;6.0;74.0;9.0;2.0;1.0;11.0;86.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0
8699;Форма банка (без печати работодателя);Ремонт;0.0;0.43;мужской;0;0;высшее;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8700;2НДФЛ;Покупка недвижимости/ строительство;0.0;0.45;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8701;2НДФЛ;Ремонт;1.0;0.46;женский;2;0;среднее-специальное;рабочий;>250;0.0;263.0;42.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8702;Свободная форма с печатью работодателя;Покупка автомобиля;0.0;0.42;мужской;2;0;второе высшее;торговый представитель;>250;3.0;16.0;39.0;Торговля;ООО;женат / замужем;3.0;3.0;3.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;0.75;3.0;1.0;17.0;4.0;2.0;0.0;9.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8703;2НДФЛ;Покупка недвижимости/ строительство;0.0;0.55;женский;1;0;высшее;менеджер среднего звена;>250;3.0;24.0;28.0;Другое;Государственное предприятие;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.20224719100000002;1.0;1.0;0.0;0.0;0.25;3.0;9.0;142.0;12.0;1.0;0.0;4.0;72.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0
8704;2НДФЛ;Ремонт;1.0;0.56;женский;0;0;высшее;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8705;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1.0;0.49;мужской;0;0;среднее-специальное;рабочий;>100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8706;2НДФЛ;Покупка недвижимости/ строительство;0.0;0.2;женский;0;0;высшее;менеджер среднего звена;>250;0.0;114.0;42.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8707;Форма банка (без печати работодателя);Ремонт;1.0;0.49;мужской;2;0;высшее;менеджер высшего звена;< 50;0.0;168.0;39.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0170068027;1.0;0.0;0.0;0.0;0.7777777778;7.0;2.0;289.0;9.0;2.0;1.0;15.0;77.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
8708;2НДФЛ;Ремонт;0.0;0.43;мужской;0;0;высшее;менеджер среднего звена;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8709;Свободная форма с печатью работодателя;Ремонт;1.0;0.59;женский;1;0;высшее;вспомогательный персонал;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8710;Форма банка (без печати работодателя);Ремонт;1.0;0.59;мужской;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0.0;77.0;29.0;Торговля;ООО;холост / не замужем;1.0;1.0;1.0;1.0;1.0;0.037037037;1.0;0.0;0.0;0.0;0.8333333333;5.0;1.0;104.0;6.0;3.0;0.0;15.0;35.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
