;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
0;Форма банка (без печати работодателя);Отпуск;0.0;0.34;женский;0;0;высшее;специалист;>250;0.0;17.0;25.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
1;Свободная форма с печатью работодателя;Обучение;1.0;0.32;женский;2;0;высшее;менеджер высшего звена;< 50;3.0;25.0;37.0;Другое;ООО;женат / замужем;2.0;2.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;5.0;2.0;0.0;0.0;3.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;Форма банка (без печати работодателя);Ремонт;0.0;0.39;мужской;1;0;*n.a.*;менеджер по продажам;>250;0.0;51.0;31.0;Торговля;ООО;разведен / разведена;2.0;1.0;1.0;0.0;0.0;0.0630630631;0.0;0.0;0.0;0.0;0.2;2.0;8.0;104.0;10.0;1.0;1.0;4.0;81.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Поступление зарплаты на счет;Покупка автомобиля;0.0;0.28;мужской;1;0;высшее;специалист;>250;0.0;85.0;29.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0512820513;1.0;0.0;0.0;0.0;0.5;2.0;2.0;74.0;4.0;1.0;0.0;17.0;80.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4;2НДФЛ;Покупка автомобиля;1.0;0.55;мужской;1;0;высшее;специалист;>250;3.0;52.0;25.0;Государственная служба;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
5;2НДФЛ;Покупка недвижимости/ строительство;1.0;0.59;женский;0;0;незаконченное высшее;вспомогательный персонал;>250;3.0;65.0;26.0;Наука;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
6;Поступление зарплаты на счет;Покупка автомобиля;1.0;0.18;мужской;0;0;второе высшее;специалист;>250;1.0;10.0;25.0;Другое;ЗАО;холост / не замужем;2.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;12.0;2.0;0.0;0.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;Поступление зарплаты на счет;Ремонт;1.0;0.44;женский;0;0;высшее;специалист;>100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
8;2НДФЛ;Покупка недвижимости/ строительство;1.0;0.49;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;3.0;31.0;45.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
9;Поступление зарплаты на счет;Отпуск;1.0;0.17;мужской;0;0;высшее;специалист;>250;0.0;55.0;28.0;Другое;ООО;женат / замужем;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1666666667;1.0;5.0;56.0;6.0;1.0;1.0;12.0;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Поступление зарплаты на счет;Ремонт;1.0;0.53;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;1.0;148.0;51.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;4.0;1.0;134.0;5.0;2.0;0.0;28.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Форма банка (без печати работодателя);Покупка автомобиля;1.0;0.58;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0.0;34.0;51.0;Государственная служба;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
12;Свободная форма с печатью работодателя;Покупка автомобиля;1.0;0.35;мужской;0;0;высшее;рабочий;>=200;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
13;Поступление зарплаты на счет;Ремонт;0.0;0.46;мужской;0;0;высшее;менеджер среднего звена;>250;0.0;143.0;46.0;Торговля;ОАО;женат / замужем;2.0;1.0;0.0;0.0;0.0;0.0397350993;1.0;0.0;0.0;0.0;0.5;2.0;2.0;145.0;4.0;1.0;1.0;34.0;91.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Форма банка (без печати работодателя);Другое;1.0;0.22;женский;1;0;высшее;специалист;>250;0.0;84.0;33.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
15;Поступление зарплаты на счет;Ремонт;1.0;0.49;мужской;0;0;высшее;вспомогательный персонал;>250;0.0;80.0;39.0;Торговля;ООО;холост / не замужем;2.0;0.0;0.0;0.0;0.0;0.14238410599999998;1.0;2.0;0.0;0.0;0.4;6.0;9.0;259.0;15.0;5.0;6.0;5.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
16;Поступление зарплаты на счет;Ремонт;0.0;0.47;мужской;0;0;высшее;торговый представитель;>250;1.0;44.0;26.0;Другое;ЗАО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.06;0.0;1.0;0.0;0.0;0.4;2.0;3.0;47.0;5.0;1.0;0.0;5.0;82.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
17;Форма банка (без печати работодателя);Ремонт;1.0;0.15;мужской;2;0;высшее;менеджер высшего звена;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
18;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0.0;0.57;женский;0;0;среднее-специальное;специалист;>250;0.0;92.0;36.0;Другое;ООО;женат / замужем;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;1.0;43.0;2.0;0.0;0.0;21.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;Поступление зарплаты на счет;Другое;1.0;0.12;женский;0;0;высшее;специалист;>250;0.0;18.0;25.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
20;Форма банка (без печати работодателя);Отпуск;0.0;0.39;мужской;1;0;высшее;менеджер высшего звена;< 50;0.0;36.0;34.0;Информационные технологии;ООО;повторный брак;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;4.0;106.0;5.0;0.0;0.0;55.0;77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;Поступление зарплаты на счет;Покупка автомобиля;1.0;0.59;женский;0;0;среднее;торговый представитель;>250;0.0;32.0;28.0;Другое;ООО;холост / не замужем;0.0;0.0;0.0;0.0;0.0;0.0275862069;1.0;0.0;0.0;0.0;0.42857142859999997;3.0;4.0;141.0;7.0;2.0;1.0;12.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Форма банка (без печати работодателя);Ремонт;0.0;0.27;мужской;0;0;среднее;специалист;< 50;0.0;23.0;34.0;Другое;ООО;холост / не замужем;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;27.0;1.0;1.0;0.0;62.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;Свободная форма с печатью работодателя;Ремонт;0.0;0.29;мужской;0;0;высшее;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
24;2НДФЛ;Ремонт;0.0;0.57;женский;0;0;высшее;менеджер среднего звена;>250;1.0;384.0;52.0;Другое;ОАО;холост / не замужем;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.625;5.0;3.0;71.0;8.0;3.0;0.0;2.0;104.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2НДФЛ;Ремонт;1.0;0.51;мужской;0;0;среднее;вспомогательный персонал;>250;0.0;155.0;46.0;Информационные технологии;ООО;холост / не замужем;2.0;1.0;0.0;0.0;0.0;0.0104166667;0.0;1.0;1.0;0.0;0.42857142859999997;3.0;4.0;95.0;7.0;2.0;2.0;2.0;93.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
26;Поступление зарплаты на счет;Покупка автомобиля;0.0;0.45;женский;0;0;среднее-специальное;рабочий;>250;0.0;9.0;56.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
27;Свободная форма с печатью работодателя;Ремонт;1.0;0.35;мужской;1;0;высшее;менеджер высшего звена;< 50;0.0;47.0;32.0;Транспорт;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
28;Форма банка (без печати работодателя);Ремонт;1.0;0.43;мужской;2;0;высшее;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
29;2НДФЛ;Покупка автомобиля;0.0;0.38;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0.0;46.0;33.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
30;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1.0;0.38;мужской;0;0;высшее;менеджер высшего звена;< 50;0.0;92.0;50.0;Строительство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
31;Свободная форма с печатью работодателя;Ремонт;1.0;0.31;мужской;1;0;высшее;менеджер высшего звена;>250;0.0;22.0;44.0;Строительство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
33;Свободная форма с печатью работодателя;Обучение;0.0;0.5;женский;1;0;второе высшее;специалист;< 50;0.0;28.0;40.0;Наука;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
34;Поступление зарплаты на счет;Покупка автомобиля;0.0;0.09;женский;1;0;высшее;специалист;>250;0.0;195.0;37.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0224719101;0.0;0.0;0.0;0.0;0.0;0.0;4.0;87.0;4.0;0.0;0.0;50.0;79.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
35;Форма банка (без печати работодателя);Ремонт;0.0;0.33;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0.0;59.0;40.0;Торговля;Индивидуальный предприниматель;женат / замужем;2.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.5555555556;5.0;4.0;87.0;9.0;2.0;0.0;9.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;Поступление зарплаты на счет;Ремонт;1.0;0.29;мужской;0;0;высшее;вспомогательный персонал;>250;0.0;70.0;43.0;Транспорт;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
37;Поступление зарплаты на счет;Покупка автомобиля;1.0;0.48;женский;1;0;незаконченное высшее;специалист;>250;0.0;16.0;30.0;Торговля;ООО;женат / замужем;6.0;6.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;16.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;2НДФЛ;Ремонт;1.0;0.45;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
39;Поступление зарплаты на счет;Обучение;1.0;0.24;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;< 50;0.0;10.0;28.0;Другое;ООО;холост / не замужем;3.0;3.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3333333333;1.0;2.0;39.0;3.0;0.0;0.0;7.0;56.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;Поступление зарплаты на счет;Покупка автомобиля;0.0;0.47;мужской;0;0;высшее;менеджер среднего звена;>250;0.0;15.0;29.0;Торговля;ООО;холост / не замужем;3.0;1.0;1.0;1.0;0.0;0.032967033;0.0;0.0;0.0;0.0;0.125;1.0;7.0;88.0;8.0;1.0;0.0;13.0;72.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
41;2НДФЛ;Ремонт;1.0;0.19;мужской;1;0;высшее;специалист;>250;0.0;23.0;31.0;Другое;ОАО;женат / замужем;5.0;5.0;4.0;4.0;3.0;-1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;47.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42;2НДФЛ;Ремонт;0.0;0.28;мужской;0;0;высшее;специалист;>250;0.0;11.0;27.0;Строительство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
43;Форма банка (без печати работодателя);Ремонт;0.0;0.21;мужской;2;0;высшее;менеджер среднего звена;< 50;0.0;76.0;39.0;Другое;Иная форма;женат / замужем;1.0;0.0;0.0;0.0;0.0;0.1066666667;1.0;1.0;0.0;0.0;0.5;2.0;2.0;67.0;4.0;1.0;0.0;5.0;89.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
44;Форма банка (без печати работодателя);Покупка автомобиля;0.0;0.18;мужской;0;0;высшее;торговый представитель;>250;0.0;22.0;27.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
45;2НДФЛ;Ремонт;1.0;0.43;женский;1;0;высшее;рабочий;>250;3.0;414.0;53.0;Другое;ОАО;женат / замужем;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;20.0;3.0;0.0;0.0;42.0;93.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;Форма банка (без печати работодателя);Ремонт;1.0;0.49;мужской;2;0;незаконченное высшее;специалист;< 50;0.0;52.0;41.0;Торговля;ООО;женат / замужем;3.0;2.0;1.0;1.0;0.0;0.0198019802;0.0;0.0;0.0;0.0;0.75;6.0;2.0;198.0;8.0;1.0;1.0;7.0;103.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
47;2НДФЛ;Ремонт;1.0;0.44;мужской;1;0;высшее;менеджер среднего звена;>250;0.0;57.0;27.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
48;Поступление зарплаты на счет;Ремонт;0.0;0.38;женский;0;0;среднее-специальное;рабочий;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
49;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1.0;0.59;мужской;0;0;высшее;менеджер среднего звена;>250;0.0;80.0;55.0;Другое;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;83.0;83.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50;Поступление зарплаты на счет;Ремонт;1.0;0.59;женский;1;0;высшее;специалист;>250;0.0;24.0;30.0;Другое;ООО;женат / замужем;2.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.25;2.0;6.0;66.0;8.0;2.0;0.0;3.0;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51;2НДФЛ;Отпуск;1.0;0.34;женский;0;0;высшее;специалист;>250;1.0;34.0;25.0;Торговля;ООО;холост / не замужем;4.0;4.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;33.0;2.0;0.0;0.0;16.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;Поступление зарплаты на счет;Ремонт;0.0;0.23;женский;0;0;высшее;специалист;>250;0.0;58.0;34.0;Производство;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
53;Поступление зарплаты на счет;Ремонт;1.0;0.49;мужской;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0.0;8.0;30.0;Торговля;ООО;холост / не замужем;0.0;0.0;0.0;0.0;0.0;0.1351351351;1.0;0.0;0.0;0.0;0.0;1.0;8.0;96.0;9.0;1.0;0.0;18.0;54.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
54;2НДФЛ;Покупка автомобиля;1.0;0.44;мужской;2;0;высшее;рабочий;>=150;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
55;2НДФЛ;Ремонт;1.0;0.49;мужской;0;0;высшее;специалист;< 50;0.0;6.0;31.0;Информационные технологии;ООО;холост / не замужем;1.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;9.0;2.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56;2НДФЛ;Ремонт;0.0;0.47;мужской;0;0;высшее;специалист;>=50;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
57;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0.0;0.47;мужской;1;0;высшее;менеджер среднего звена;>250;1.0;50.0;31.0;Торговля;ООО;женат / замужем;0.0;0.0;0.0;0.0;0.0;0.20727272730000001;1.0;1.0;0.0;0.0;0.4166666667;5.0;7.0;218.0;12.0;3.0;2.0;4.0;91.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0
58;Поступление зарплаты на счет;Ремонт;1.0;0.34;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0.0;6.0;45.0;Торговля;ЗАО;женат / замужем;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;25.0;2.0;0.0;0.0;31.0;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1.0;0.33;женский;2;0;высшее;специалист;< 50;0.0;81.0;33.0;Другое;ООО;женат / замужем;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;21.0;1.0;0.0;1.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;2НДФЛ;Ремонт;0.0;0.26;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0.0;9.0;38.0;Сельское и лесное хозяйство;ООО;женат / замужем;2.0;1.0;1.0;1.0;1.0;0.0095238095;0.0;0.0;0.0;0.0;0.5;3.0;3.0;104.0;6.0;1.0;0.0;12.0;63.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
61;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1.0;0.27;мужской;1;0;среднее-специальное;менеджер высшего звена;< 50;0.0;66.0;45.0;Другое;ООО;женат / замужем;1.0;1.0;1.0;1.0;0.0;0.4642857143;1.0;0.0;0.0;0.0;0.0;1.0;2.0;30.0;3.0;1.0;0.0;74.0;90.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
62;Поступление зарплаты на счет;Отпуск;1.0;0.22;мужской;2;0;среднее;рабочий;>250;1.0;36.0;31.0;Торговля;ООО;повторный брак;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;2.0;3.0;35.0;5.0;1.0;0.0;11.0;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;Форма банка (без печати работодателя);Ремонт;1.0;0.29;мужской;1;0;высшее;рабочий;>100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
64;Поступление зарплаты на счет;Ремонт;1.0;0.58;женский;0;0;*n.a.*;специалист;>250;0.0;22.0;26.0;Торговля;ООО;холост / не замужем;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;11.0;1.0;0.0;0.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;Поступление зарплаты на счет;Ремонт;1.0;0.59;мужской;1;0;высшее;специалист;>250;0.0;72.0;33.0;Транспорт;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
67;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1.0;0.49;мужской;1;0;среднее-специальное;менеджер среднего звена;>250;0.0;19.0;43.0;Торговля;ООО;женат / замужем;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;4.0;40.0;5.0;0.0;0.0;19.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
68;2НДФЛ;Ремонт;0.0;0.38;женский;0;0;высшее;специалист;>250;0.0;97.0;34.0;Финансы;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
69;Поступление зарплаты на счет;Покупка бытовой техники;1.0;0.27;мужской;0;0;высшее;рабочий;>250;0.0;36.0;29.0;Информационные технологии;ООО;холост / не замужем;1.0;0.0;0.0;0.0;0.0;0.4128440367;0.0;0.0;0.0;0.0;0.3333333333;1.0;2.0;64.0;3.0;0.0;0.0;16.0;68.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
70;Свободная форма с печатью работодателя;Ремонт;1.0;0.25;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>=100;unknown;-1.0;-1.0;unknown;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;unknown;unknown;-1.0;-1.0;-1.0;-1.0;-1.0
